Date,Time,Temp,SetTemp,RH,SetRH,PAR
2015/09/01,13:43:48,18.9,20.7,73,70,190
2015/09/01,13:48:46,21.1,20.7,77,70,190
2015/09/01,13:53:44,20.7,20.8,79,70,185
2015/09/01,13:58:47,20.8,20.9,79,70,185
2015/09/01,14:03:48,20.9,21.0,79,70,180
2015/09/01,14:08:47,21.1,21.0,78,70,177
2015/09/01,14:13:43,21.0,21.1,78,70,175
2015/09/01,14:18:47,21.2,21.2,76,70,172
2015/09/01,14:23:45,21.2,21.2,75,70,170
2015/09/01,14:28:46,21.2,21.3,74,70,167
2015/09/01,14:33:48,21.3,21.4,72,70,165
2015/09/01,14:38:48,21.4,21.5,71,70,162
2015/09/01,14:43:47,21.5,21.5,69,70,160
2015/09/01,14:48:48,21.5,21.6,69,70,157
2015/09/01,14:53:43,21.6,21.6,69,69,155
2015/09/01,14:58:48,21.5,21.7,68,69,152
2015/09/01,15:03:49,21.7,21.8,67,69,150
2015/09/01,15:08:45,21.9,21.8,67,69,147
2015/09/01,15:13:48,21.9,21.9,67,69,142
2015/09/01,15:18:49,21.9,21.9,67,68,140
2015/09/01,15:23:47,21.8,22.0,67,68,137
2015/09/01,15:28:48,22.0,22.1,66,68,130
2015/09/01,15:33:49,22.2,22.1,66,68,125
2015/09/01,15:38:49,22.1,22.2,66,68,122
2015/09/01,15:43:48,22.2,22.2,66,67,120
2015/09/01,15:48:50,22.1,22.3,66,67,117
2015/09/01,15:53:50,22.4,22.3,66,67,112
2015/09/01,15:58:43,22.2,22.3,66,67,112
2015/09/01,16:03:50,22.3,22.4,67,67,107
2015/09/01,16:08:49,22.4,22.4,66,67,102
2015/09/01,16:13:49,22.5,22.5,66,66,100
2015/09/01,16:18:53,22.5,22.5,66,66,97
2015/09/01,16:23:48,22.5,22.6,66,66,92
2015/09/01,16:28:49,22.7,22.6,66,66,90
2015/09/01,16:33:49,22.6,22.6,66,66,85
2015/09/01,16:38:50,22.7,22.7,66,66,82
2015/09/01,16:43:43,22.8,22.7,65,66,82
2015/09/01,16:48:50,22.6,22.7,65,66,75
2015/09/01,16:53:50,22.7,22.7,65,66,70
2015/09/01,16:58:49,22.6,22.8,65,65,67
2015/09/01,17:03:50,22.9,22.8,65,65,62
2015/09/01,17:08:49,22.9,22.8,65,65,60
2015/09/01,17:13:50,22.9,22.8,65,65,55
2015/09/01,17:18:53,22.9,22.8,65,65,52
2015/09/01,17:23:49,22.8,22.9,65,65,47
2015/09/01,17:28:51,22.9,22.9,66,65,45
2015/09/01,17:33:50,22.9,22.9,65,65,40
2015/09/01,17:38:51,23.0,22.9,65,65,35
2015/09/01,17:43:51,23.0,22.9,65,65,25
2015/09/01,17:48:50,23.0,22.9,64,65,22
2015/09/01,17:53:52,23.0,22.9,65,65,17
2015/09/01,17:58:51,22.9,22.9,65,65,15
2015/09/01,18:03:52,23.0,22.9,65,65,15
2015/09/01,18:08:46,23.0,22.9,65,65,12
2015/09/01,18:13:51,23.0,22.9,65,65,2
2015/09/01,18:18:47,23.0,22.9,65,65,2
2015/09/01,18:23:51,23.0,22.9,64,65,2
2015/09/01,18:28:53,22.9,22.9,64,65,2
2015/09/01,18:33:52,23.0,22.9,65,65,2
2015/09/02,09:40:09,22.8,16.6,63,70,95
2015/09/02,09:45:08,14.2,16.6,78,70,100
2015/09/02,15:18:45,17.2,21.8,71,68,137
2015/09/02,15:23:43,22.2,21.9,60,68,132
2015/09/02,15:28:44,21.9,21.9,68,68,127
2015/09/02,15:33:45,21.9,22.0,72,68,125
2015/09/02,15:38:43,22.1,22.0,72,68,122
2015/09/02,15:43:42,22.0,22.1,73,68,120
2015/09/02,15:48:42,22.2,22.1,73,67,115
2015/09/02,15:53:45,22.1,22.2,73,67,112
2015/09/02,15:58:44,22.2,22.2,72,67,110
2015/09/02,16:03:45,22.2,22.2,72,67,105
2015/09/02,16:08:44,22.2,22.3,72,67,102
2015/09/02,16:13:38,22.3,22.3,71,67,100
2015/09/02,16:18:45,22.4,22.4,70,66,95
2015/09/02,16:23:44,22.5,22.4,69,66,92
2015/09/02,16:28:45,22.3,22.4,68,66,87
2015/09/02,16:33:44,22.3,22.5,69,66,85
2015/09/02,16:38:43,22.4,22.5,69,66,82
2015/09/02,16:43:42,22.5,22.5,69,66,77
2015/09/02,16:48:45,22.6,22.6,68,66,72
2015/09/02,16:53:44,22.7,22.6,66,66,70
