real_date,ch5_water,ch2_water,ch2_spring_growth_stage,ch5_fall_growth_stage,ch2_height,ch5_height
21/09/15,x,,,,,
29/09/15,x,,,,,
30/09/15,,,,x,,
2/10/15,x,x,,x,,x
5/10/15,x,,,x,,
7/10/15,,,,x,,
9/10/15,x,x,,x,,x
12/10/15,,x,x,x,,
14/10/15,x,x,x,x,,
16/10/15,x,x,,x,,x
17/10/15,,,x,,x,
19/10/15,x,x,x,x,,
21/10/15,,x,x,x,,
23/10/15,,,x,x,x,x
26/10/15,x,x,x,x,,
28/10/15,x,x,x,x,,
30/10/15,x,x,x,x,x,x
2/11/15,x,x,x,x,,
4/11/15,x,x,x,x,,
6/11/15,x,x,x,x,x,x
11/11/15,x,x,,x,,
13/11/15,x,x,x,x,x,x
16/11/15,x,x,x,x,,
18/11/15,x,x,,x,,
20/11/15,x,x,,,x,x
23/11/15,x,x,,,,
25/11/15,x,x,,x,,
27/11/15,,x,,,,
4/12/15,x,x,,x,x,x
7/12/15,x,x,,,,
9/12/15,x,x,,,,
11/12/15,x,x,,,x,
14/12/15,x,x,,x,,x
19/12/15,x,x,,,,
21/12/15,,x,,,,
23/12/15,x,x,,,,
26/12/15,,x,,,,
30/12/15,x,x,,,,
1/01/16,x,x,,,,
4/01/16,x,x,,,,
8/01/16,,x,,,,
13/01/16,x,,,,,
15/01/16,,x,,,,
20/01/16,,,,,,x
22/01/16,x,x,,,,
2/02/16,x,,,,,
8/02/16,x,,,,,
12/02/16,x,,,,x,
17/02/16,x,,,,,
25/02/16,x,,,,,
4/03/16,,,,,,x
9/03/16,x,,,,,
11/03/16,x,,,,,
15/03/16,x,,,,,
18/03/16,x,,,,,
21/03/16,x,,,,,
23/03/16,,,,,,x
29/03/16,x,,,,,
1/04/16,x,,,,,
4/04/16,x,,,,,
7/04/16,x,,,,,
13/04/16,x,,,,,x
18/04/16,x,,,,,
20/04/16,x,,,,,
22/04/16,x,,,,,
26/04/16,x,,,,,
27/04/16,,,,,,x
29/04/16,x,,,,,
2/05/16,x,,,,,
6/05/16,x,,,,,
9/05/16,x,,,,,
13/05/16,x,,,,,
15/05/16,x,,,,,
18/05/16,x,,,,,
19/05/16,x,,,,,
23/05/16,x,,,,,
26/05/16,x,,,,,
1/06/16,x,,,,,
3/06/16,,,,,,x
