real_date,ch5_water,ch2_water
21/09/2015,x,
29/09/2015,x,
30/09/2015,,
02/10/2015,x,x
05/10/2015,x,
09/10/2015,x,x
12/10/2015,,x
14/10/2015,x,x
16/10/2015,x,x
19/10/2015,x,x
21/10/2015,,x
26/10/2015,x,x
28/10/2015,x,x
30/10/2015,x,x
02/11/2015,x,x
04/11/2015,x,x
06/11/2015,x,x
11/11/2015,x,x
13/11/2015,x,x
16/11/2015,x,x
18/11/2015,x,x
20/11/2015,x,x
23/11/2015,x,x
25/11/2015,x,x
27/11/2015,,x
04/12/2015,x,x
07/12/2015,x,x
09/12/2015,x,x
11/12/2015,x,x
14/12/2015,x,x
19/12/2015,x,x
21/12/2015,,x
23/12/2015,x,x
26/12/2015,,x
30/12/2015,x,x
01/01/2016,x,x
04/01/2016,x,x
08/01/2016,,x
13/01/2016,x,
15/01/2016,,x
22/01/2016,x,x
02/02/2016,x,
08/02/2016,x,
12/02/2016,x,
17/02/2016,x,
25/02/2016,x,
09/03/2016,x,
11/03/2016,x,
15/03/2016,x,
18/03/2016,x,
21/03/2016,x,
29/03/2016,x,
01/04/2016,x,
04/04/2016,x,
07/04/2016,x,
13/04/2016,x,
18/04/2016,x,
20/04/2016,x,
22/04/2016,x,
26/04/2016,x,
29/04/2016,x,
02/05/2016,x,
06/05/2016,x,
09/05/2016,x,
13/05/2016,x,
15/05/2016,x,
18/05/2016,x,
19/05/2016,x,
23/05/2016,x,
26/05/2016,x,
01/06/2016,x,
