SampleID	SampleName	SampleType	PlantID	AccessionID	PlantName	Accession	ClonalGroup	Replicate	AccessionID	Plate	PlateCoordinate	HarvestDate	GrindDate	ExtractionDate	QuantificaitonDate	BisulfiteDate	LibraryDate	library_prep_set_alias	ng/uL	total volume (uL)	total gDNA (ug)	uL for 80ng	h2o to 45ul	output volume (uL)	input volume (uL)	expected input gDNA (ug)	index d5	index d7	output well	200-500 Molarity (nmol/L)	Sequencing Batch	Submitted for sequencing
S60000	BdTR9b_R3S_DNA	FlagLeaf Bdis gDNA isolation	28001	718	BdTR9b_R3S	BdTR9b	Clone4	3	718	1	A1	Dec162015	Jan222016	Feb162016	Mar72016				5.58	160	892.90	14.34	30.66	15	5	26.67						
S60001	BdTR3d_R2S_DNA	FlagLeaf Bdis gDNA isolation	28002	680	BdTR3d_R2S	BdTR3d	Clone2	2	680	1	B1	Dec162015	Jan222016	Feb162016	Mar72016				6.90	160	1104.71	11.59	33.41	15	5	26.67						
S60002	BdTR5g_R1S_DNA	FlagLeaf Bdis gDNA isolation	28003	701	BdTR5g_R1S	BdTR5g	Clone3	1	701	1	C1	Dec162015	Jan222016	Feb162016	Mar72016				5.81	160	930.22	13.76	31.24	15	5	26.67						
S60003	BdTR9f_R1S_DNA	FlagLeaf Bdis gDNA isolation	28004	721	BdTR9f_R1S	BdTR9f	Clone4	1	721	1	D1	Dec162015	Jan222016	Feb162016	Mar72016				7.37	160	1179.35	10.85	34.15	15	5	26.67						
S60004	BdTR13i_R1S_DNA	FlagLeaf Bdis gDNA isolation	28005	762	BdTR13i_R1S	BdTR13i	Clone7	1	762	1	E1	Dec162015	Jan222016	Feb162016	Mar72016				7.57	160	1211.02	10.57	34.43	15	5	26.67						
S60005	BdTR11h_R1S_DNA	FlagLeaf Bdis gDNA isolation	28006	749	BdTR11h_R1S	BdTR11h	Clone6	1	749	1	F1	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	7.14	160	1142.03	11.21	33.79	15	5	26.67						
S60006	BdTR2c_R1S_DNA	FlagLeaf Bdis gDNA isolation	28007	662	BdTR2c_R1S	BdTR2c	Clone1	1	662	1	G1	Dec162015	Jan222016	Feb162016	Mar72016	May132016	May172016	sequencing_plate_1	6.65	160	1063.36	12.04	32.96	15	5	26.67	501	711	A11			
S60007	BdTR11h_R2S_DNA	FlagLeaf Bdis gDNA isolation	28008	749	BdTR11h_R2S	BdTR11h	Clone6	2	749	1	H1	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	4.14	160	661.73	19.34	25.66	15	5	26.67						
S60008	KEI1_R3S_DNA	FlagLeaf Bdis gDNA isolation	28009	422	KEI1_R3S	KEI1	HYB2	3	422	1	A2	Dec162015	Jan222016	Feb162016	Mar72016				9.52	160	1522.48	8.41	36.59	15	5	26.67						
S60009	BdTR2b_R1S_DNA	FlagLeaf Bdis gDNA isolation	28010	661	BdTR2b_R1S	BdTR2b	Clone1	1	661	1	B2	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	4.76	160	761.38	16.81	28.19	15	5	26.67						
S60010	BdTR9b_R2S_DNA	FlagLeaf Bdis gDNA isolation	28011	718	BdTR9b_R2S	BdTR9b	Clone4	2	718	1	C2	Dec162015	Jan222016	Feb162016	Mar72016				4.03	160	645.39	19.83	25.17	15	5	26.67						
S60011	BdTR11d_R2S_DNA	FlagLeaf Bdis gDNA isolation	28012	745	BdTR11d_R2S	BdTR11d	Clone6	2	745	1	D2	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	4.81	160	769.25	16.64	28.36	15	5	26.67						
S60012	BdTR3s_R2S_DNA	FlagLeaf Bdis gDNA isolation	28013	693	BdTR3s_R2S	BdTR3s	Clone2	2	693	1	E2	Dec162015	Jan222016	Feb162016	Mar72016				5.10	160	815.85	15.69	29.31	15	5	26.67						
S60013	BRO1-1_R2S_DNA	FlagLeaf Bdis gDNA isolation	28014	278	BRO1-1_R2S	BRO1-1	HYB1	2	278	1	F2	Dec162015	Jan222016	Feb162016	Mar72016				8.62	160	1378.85	9.28	35.72	15	5	26.67						
S60014	BdTR10c_R1S_DNA	FlagLeaf Bdis gDNA isolation	28015	730	BdTR10c_R1S	BdTR10c	Clone5	1	730	1	G2	Dec162015	Jan222016	Feb162016	Mar72016				4.66	160	745.85	17.16	27.84	15	5	26.67						
S60015	BdTR3d_R1S_DNA	FlagLeaf Bdis gDNA isolation	28016	680	BdTR3d_R1S	BdTR3d	Clone2	1	680	1	H2	Dec162015	Jan222016	Feb162016	Mar72016				5.94	160	950.80	13.46	31.54	15	5	26.67						
S60016	BdTR3e_R2S_DNA	FlagLeaf Bdis gDNA isolation	28017	681	BdTR3e_R2S	BdTR3e	Clone2	2	681	1	A3	Dec162015	Jan222016	Feb162016	Mar72016				8.29	160	1326.20	9.65	35.35	15	5	26.67						
S60017	BdTR10f_R1S_DNA	FlagLeaf Bdis gDNA isolation	28018	733	BdTR10f_R1S	BdTR10f	Clone4	1	733	1	B3	Dec162015	Jan222016	Feb162016	Mar72016				12.78	160	2045.34	6.26	38.74	15	5	26.67						
S60018	BdTR5g_R3S_DNA	FlagLeaf Bdis gDNA isolation	28019	701	BdTR5g_R3S	BdTR5g	Clone3	3	701	1	C3	Dec162015	Jan222016	Feb162016	Mar72016				14.77	160	2362.64	5.42	39.58	15	5	26.67						
S60019	BdTR2g_R1S_DNA	FlagLeaf Bdis gDNA isolation	28020	666	BdTR2g_R1S	BdTR2g	Clone1	1	666	1	D3	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	9.03	160	1444.81	8.86	36.14	15	5	26.67						
S60020	BdTR2n_R1S_DNA	FlagLeaf Bdis gDNA isolation	28021	672	BdTR2n_R1S	BdTR2n	Clone1	1	672	1	E3	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	11.47	160	1835.35	6.97	38.03	15	5	26.67						
S60021	BdTR3c_R2S_DNA	FlagLeaf Bdis gDNA isolation	28022	679	BdTR3c_R2S	BdTR3c	Clone2	2	679	1	F3	Dec162015	Jan222016	Feb162016	Mar72016				21.81	160	3489.86	3.67	41.33	15	5	26.67						
S60022	BdTR3i_R2S_DNA	FlagLeaf Bdis gDNA isolation	28023	685	BdTR3i_R2S	BdTR3i	Clone2	2	685	1	G3	Dec162015	Jan222016	Feb162016	Mar72016				10.99	160	1758.89	7.28	37.72	15	5	26.67						
S60023	BdTR3r_R3S_DNA	FlagLeaf Bdis gDNA isolation	28024	692	BdTR3r_R3S	BdTR3r	Clone2	3	692	1	H3	Dec162015	Jan222016	Feb162016	Mar72016				12.84	160	2054.62	6.23	38.77	15	5	26.67						
S60024	BdTR5j_R3S_DNA	FlagLeaf Bdis gDNA isolation	28025	704	BdTR5j_R3S	BdTR5j	Clone3	3	704	1	A4	Dec162015	Jan222016	Feb162016	Mar72016				9.25	160	1479.91	8.65	36.35	15	5	26.67						
S60025	Bd21_R16S_DNA	FlagLeaf Bdis gDNA isolation	28026	4741	Bd21_R16S	Bd21	Bd21	16	4741	1	B4	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	6.66	160	1066.18	12.01	32.99	15	5	26.67						
S60026	BdTR10i_R3S_DNA	FlagLeaf Bdis gDNA isolation	28027	736	BdTR10i_R3S	BdTR10i	Clone5	3	736	1	C4	Dec162015	Jan222016	Feb162016	Mar72016				5.07	160	811.01	15.78	29.22	15	5	26.67						
S60027	BdTR13g_R1S_DNA	FlagLeaf Bdis gDNA isolation	28028	760	BdTR13g_R1S	BdTR13g	Clone7	1	760	1	D4	Dec162015	Jan222016	Feb162016	Mar72016				6.69	160	1070.02	11.96	33.04	15	5	26.67						
S60028	BdTR9g_R2S_DNA	FlagLeaf Bdis gDNA isolation	28029	722	BdTR9g_R2S	BdTR9g	Clone4	2	722	1	E4	Dec162015	Jan222016	Feb162016	Mar72016				8.56	160	1370.38	9.34	35.66	15	5	26.67						
S60029	BdTR13c_R2S_DNA	FlagLeaf Bdis gDNA isolation	28030	756	BdTR13c_R2S	BdTR13c	Clone7	2	756	1	F4	Dec162015	Jan222016	Feb162016	Mar72016				13.16	160	2104.85	6.08	38.92	15	5	26.67						
S60030	ELI10_R2S_DNA	FlagLeaf Bdis gDNA isolation	28031	349	ELI10_R2S	ELI10	HYB1	2	349	1	G4	Dec162015	Jan222016	Feb162016	Mar72016				8.54	160	1366.75	9.37	35.63	15	5	26.67						
S60031	BdTR11f_R3S_DNA	FlagLeaf Bdis gDNA isolation	28032	747	BdTR11f_R3S	BdTR11f	Clone6	3	747	1	H4	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	10.58	160	1693.54	7.56	37.44	15	5	26.67						
S60032	BLA1_R2S_DNA	FlagLeaf Bdis gDNA isolation	28033	252	BLA1_R2S	BLA1	HYB1	2	252	1	A5	Dec162015	Jan222016	Feb162016	Mar72016				7.30	160	1167.25	10.97	34.03	15	5	26.67						
S60033	BdTR1f_R1S_DNA	FlagLeaf Bdis gDNA isolation	28034	652	BdTR1f_R1S	BdTR1f	Clone1	1	652	1	B5	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	5.15	160	824.12	15.53	29.47	15	5	26.67						
