SampleID	PlantID	AccessionID	PlantName	Accession	ClonalGroup	Replicate	BRF_Sequencing_Batch	LIBRARY SET	prep_set	index d5	index d7	output well	SRA_run_ID
S60000	28001	718	BdTR9b_R3S	BdTR9b	Clone4	3	SN877_0438	L1	L1.1	501	701	A1	SRR5050883
S60001	28002	680	BdTR3d_R2S	BdTR3d	Clone2	2	SN877_0438	L1	L1.1	502	701	B1	SRR5050914
S60002	28003	701	BdTR5g_R1S	BdTR5g	Clone3	1	SN877_0438	L1	L1.1	503	701	C1	SRR5050908
S60003	28004	721	BdTR9f_R1S	BdTR9f	Clone4	1	SN877_0438	L1	L1.1	504	701	D1	SRR5050940
S60004	28005	762	BdTR13i_R1S	BdTR13i	Clone7	1	SN877_0438	L1	L1.1	505	701	E1	SRR5050885
S60005	28006	749	BdTR11h_R1S	BdTR11h	Clone6	1	SN877_0438	L1	L1.1	506	701	F1	SRR5050864
S60006	28007	662	BdTR2c_R1S	BdTR2c	Clone1	1	SN877_0438	L1	L1.1	507	701	G1	SRR5050907
S60007	28008	749	BdTR11h_R2S	BdTR11h	Clone6	2	SN877_0438	L1	L1.1	508	701	H1	SRR5050902
S60008	28009	422	KEI1_R3S	KEI1	HYB2	3	SN877_0438	L1	L1.1	501	702	A2	SRR5050868
S60009	28010	661	BdTR2b_R1S	BdTR2b	Clone1	1	SN877_0438	L1	L1.1	502	702	B2	SRR5050876
S60010	28011	718	BdTR9b_R2S	BdTR9b	Clone4	2	SN877_0438	L1	L1.1	503	702	C2	SRR5050932
S60011	28012	745	BdTR11d_R2S	BdTR11d	Clone6	2	SN877_0438	L1	L1.1	504	702	D2	SRR5050891
S60012	28013	693	BdTR3s_R2S	BdTR3s	Clone2	2	SN877_0438	L1	L1.1	505	702	E2	SRR5050867
S60013	28014	278	BRO1-1_R2S	BRO1-1	HYB1	2	SN877_0438	L1	L1.1	506	702	F2	SRR5050898
S60014	28015	730	BdTR10c_R1S	BdTR10c	Clone5	1	SN877_0438	L1	L1.1	507	702	G2	SRR5050924
S60015	28016	680	BdTR3d_R1S	BdTR3d	Clone2	1	SN877_0438	L1	L1.1	508	702	H2	SRR5050934
S60016	28017	681	BdTR3e_R2S	BdTR3e	Clone2	2	SN877_0438	L1	L1.1	501	703	A3	SRR5050860
S60017	28018	733	BdTR10f_R1S	BdTR10f	Clone4	1	SN877_0438	L1	L1.1	502	703	B3	SRR5050852
S60018	28019	701	BdTR5g_R3S	BdTR5g	Clone3	3	SN877_0438	L1	L1.1	503	703	C3	SRR5050892
S60019	28020	666	BdTR2g_R1S	BdTR2g	Clone1	1	SN877_0438	L1	L1.1	504	703	D3	SRR5050879
S60020	28021	672	BdTR2n_R1S	BdTR2n	Clone1	1	SN877_0438	L1	L1.1	505	703	E3	SRR5050925
S60021	28022	679	BdTR3c_R2S	BdTR3c	Clone2	2	SN877_0438	L1	L1.1	506	703	F3	SRR5050869
S60022	28023	685	BdTR3i_R2S	BdTR3i	Clone2	2	SN877_0438	L1	L1.1	507	703	G3	SRR5050913
S60023	28024	692	BdTR3r_R3S	BdTR3r	Clone2	3		L1	L1.1	508	703	H3	
S60024	28025	704	BdTR5j_R3S	BdTR5j	Clone3	3	SN877_0438	L1	L1.1	501	704	A4	SRR5050890
S60025	28026	4741	Bd21_R16S	Bd21	Bd21	16	SN877_0438	L1	L1.1	502	704	B4	SRR5050931
S60026	28027	736	BdTR10i_R3S	BdTR10i	Clone5	3	SN877_0438	L1	L1.1	503	704	C4	SRR5050861
S60027	28028	760	BdTR13g_R1S	BdTR13g	Clone7	1	SN877_0438	L1	L1.1	504	704	D4	SRR5050889
S60028	28029	722	BdTR9g_R2S	BdTR9g	Clone4	2	SN877_0438	L1	L1.1	505	704	E4	SRR5050848
S60029	28030	756	BdTR13c_R2S	BdTR13c	Clone7	2	SN877_0438	L1	L1.1	506	704	F4	SRR5050938
S60030	28031	349	ELI10_R2S	ELI10	HYB1	2	SN877_0438	L1	L1.1	507	704	G4	SRR5050909
S60031	28032	747	BdTR11f_R3S	BdTR11f	Clone6	3	SN877_0438	L1	L1.1	508	704	H4	SRR5050895
S60032	28033	252	BLA1_R2S	BLA1	HYB1	2	SN877_0438	L1	L1.1	501	705	A5	SRR5050886
S60033	28034	652	BdTR1f_R1S	BdTR1f	Clone1	1	SN877_0438	L1	L1.1	502	705	B5	SRR5050854
S60034	28035	734	BdTR10g_R3S	BdTR10g	Clone5	3	SN877_0438	L1	L1.1	503	705	C5	SRR5050858
S60035	28036	682	BdTR3f_R2S	BdTR3f	Clone2	2	SN877_0438	L1	L1.1	504	705	D5	SRR5050850
S60036	28037	426	KEI5_R1S	KEI5	HYB2	1	SN877_0438	L1	L1.1	505	705	E5	SRR5050878
S60037	28038	338	EGL7_R2S	EGL7	HYB1	2	SN877_0438	L1	L1.1	506	705	F5	SRR5050862
S60038	28039	687	BdTR3k_R1S	BdTR3k	Clone2	1	SN877_0438	L1	L1.1	507	705	G5	SRR5050872
S60039	28040	4741	Bd21_R11S	Bd21	Bd21	11	SN877_0438	L1	L1.1	508	705	H5	SRR5050856
S60040	28041	703	BdTR5i_R1S	BdTR5i	Clone3	1	SN877_0438	L1	L1.1	501	706	A6	SRR5050857
S60041	28042	695	BdTR5a_R3S	BdTR5a	Clone3	3	SN877_0438	L1	L1.1	502	706	B6	SRR5050880
S60042	28043	389	GUL3-8_R1S	GUL3-8	HYB1	1	SN877_0438	L1	L1.1	503	706	C6	SRR5050853
S60043	28044	740	BdTR10n_R2S	BdTR10n	Clone6	2	SN877_0438	L1	L1.1	504	706	D6	SRR5050915
S60044	28045	663	BdTR2d_R2S	BdTR2d	Clone1	2	SN877_0438	L1	L1.1	505	706	E6	SRR5050877
S60045	28046	656	BdTR1j_R3S	BdTR1j	Clone1	3	SN877_0438	L1	L1.1	506	706	F6	SRR5050874
S60046	28047	682	BdTR3f_R3S	BdTR3f	Clone2	3	SN877_0438	L1	L1.1	507	706	G6	SRR5050926
S60047	28048	4741	Bd21_R2S	Bd21	Bd21	2	SN877_0438	L1	L1.1	508	706	H6	SRR5050887
S60048	28049	701	BdTR5g_R2S	BdTR5g	Clone3	2		L1	L1.2	501	707	A7	
S60049	28050	763	BdTR13j_R2S	BdTR13j	Clone7	2	SN877_0438	L1	L1.2	502	707	B7	SRR5050911
S60050	28051	661	BdTR2b_R2S	BdTR2b	Clone1	2	SN877_0438	L1	L1.2	503	707	C7	SRR5050922
S60051	28052	764	BdTR13k_R2S	BdTR13k	Clone7	2	SN877_0438	L1	L1.2	504	707	D7	SRR5050863
S60052	28053	687	BdTR3k_R3S	BdTR3k	Clone2	3	SN877_0438	L1	L1.2	505	707	E7	SRR5050906
S60053	28054	718	BdTR9b_R1S	BdTR9b	Clone4	1	SN877_0438	L1	L1.2	506	707	F7	SRR5050929
S60054	28055	706	BdTR5m_R2S	BdTR5m	Clone3	2	SN877_0438	L1	L1.2	507	707	G7	SRR5050904
S60055	28056	748	BdTR11g_R3S	BdTR11g	Clone6	3	SN877_0438	L1	L1.2	508	707	H7	SRR5050918
S60056	28057	659	BdTR1n_R3S	BdTR1n	Clone1	3	SN877_0438	L1	L1.2	501	708	A8	SRR5050881
